price,bedrooms,bathrooms,addr,lat,lng
"4,750",1,1,115 W 85th St #8,40.7863333,-73.9734713
"19,500",3,3,330 E 38th St #46MNO,40.7462466,-73.9725283
"19,500",4,4,50 West St #40C,40.7080103,-74.0149843
"3,595",1,3,100 W 31st St #23E,40.747661,-73.9898898
"5,179",3,2,67 Wall St #11H,40.7055787,-74.0083779
"6,695",2,2,38 Delancey St #4B,40.7199351,-73.9916562
"5,500",1,1,385 1st Ave #8D,40.7367873,-73.9790282
"4,000",4,2,140 W 111th St #5,40.7994157,-73.9538827
"4,333",1,1,100 W 31st St #16G,40.747661,-73.9898898
"4,804",2,2,63 Wall St #1813,40.7056004,-74.0087796
"3,076",1,5,63 Wall St #3602,40.7056004,-74.0087796
"23,000",4,4,56 Leonard St #14BE,40.7178984,-74.0063829
"3,933",1,1,315 W 33rd St #22H,40.7520318,-73.9946208
"5,100",3,2,240 E 28th St #G,40.7410804,-73.9792752
"3,988",1,1,63 Wall St #1207,,
"8,400",1,1,45 E 22nd St #16B,40.7399733,-73.9873258
"16,950",2,2,45 E 22nd St #28A,40.7399733,-73.9873258
"2,596",1,5,63 Wall St #3302,40.7056004,-74.0087796
"7,787",3,2,20 Park Ave #3CD,40.7482461,-73.9809828
"30,000",3,3,56 Leonard St #8AEA,40.7178984,-74.0063829
"13,900",3,2,15 W 55th St #6A,40.7622211,-73.9757064
"3,800",2,1,35 E 7th St #2,39.1036774,-84.5123809
"18,250",3,2,430 W 24th St #PH,40.7474835,-74.0021549
"6,250",2,2,20 Pine St #1718,44.4797523,-73.2148957
"3,900",1,9,55 W 25th St #22L,40.7443156,-73.991439
"7,250",2,2,30 W 63rd St #5M,40.7707681,-73.9817311
"4,250",1,1,160 W 66th St #29A,40.7743386,-73.9842884
"3,937",1,1,364 W 18th St #5L,40.7432386,-74.003283
"3,495",2,1,440 W 45th St #3E,40.7609705,-73.993208
"3,750",2,1,200 Bowery #7E,40.7213877,-73.9939543
"5,950",2,1,279 E 44th St #7A,40.7513467,-73.9714666
"5,995",2,1,809 9th Ave #6AA,40.7657968,-73.9875562
"6,995",2,2,30 W 63rd St #9K,40.7707681,-73.9817311
"9,500",6,2,110 Greenwich St #12BB,40.7087344,-74.0135875
"5,000",3,1,405 E 61st St #5CC,40.7608012,-73.9604457
"5,775",2,2,260 W 26th St #11-K,40.7468602,-73.9967074
"10,000",3,3,325 5th Ave #43D,40.7474699,-73.9850289
"2,500",2,1,603 W 140th St #58,40.8237589,-73.953371
"4,900",2,2,404 E 76th St #7A,40.7700836,-73.9537498
"4,295",1,1,260 W 26th St #5Q,40.7468602,-73.9967074
"15,000",3,3,500 W 53rd St #7B,40.7666132,-73.9909877
"4,150",1,1,460 W 42nd St #51E,40.7590307,-73.9945665
"4,060",1,1,60 W 66th St #36C,40.7733055,-73.9814584
"4,295",1,1,301 Elizabeth St #1112,40.7247234,-73.9935548
"3,250",1,1,410 W 24th St #9F,40.7472085,-74.0013378
"4,100",1,1,350 W 42nd St #33E,40.7579169,-73.9922148
"8,000",2,2,311 W 50th St #1D,40.762887,-73.986922
"3,000",2,2,360 W 119th St #2B,40.8070974,-73.9562466
"5,500",1,1,101 Leonard St #9C,40.7168153,-74.0036685
"3,025",1,1,55 W End Ave #R6B,40.5710576,-74.6206769
"2,795",3,1,4740 Broadway #H,40.8649925,-73.9277259
"2,495",2,1,507 W 147th St #J,40.8270194,-73.9472556
"6,300",2,2,1 Columbus Pl #N40E,40.7691749,-73.9855688
"2,550",2,1,528 E 83rd St #34,40.7732148,-73.9472079
"4,300",2,1,62 Avenue B #5P,37.7687406,-122.1904563
"3,295",1,2,2 Gold St #4C,40.7073585,-74.006962
"5,695",2,1,108 W 15th St #2K,40.7381713,-73.9970717
"5,800",1,1,50 West St #27C,40.7080103,-74.0149843
"2,600",4,1,542 W 147th St #H,40.8272515,-73.948879
"8,495",3,2,1385 York Ave #21-B,40.7680258,-73.9532922
"10,700",2,2,101 Warren St #2740,40.715626,-74.011178
"3,483",2,1,38-40 E 58th St #4C,40.7626541,-73.9715774
"2,550",1,1,31 W 88th St #4R,40.787281,-73.969403
"7,900",4,2,840 W End Ave #4C,40.7985084,-73.9704649
"2,949",2,1,131 W 110th St #2A,40.7989437,-73.9535028
"6,295",3,2,45 Wall St #2122,,
"3,500",1,1,220 Riverside Blvd #5E,40.779714,-73.9873862
"4,915",2,2,55 W End Ave #S5M,40.5710576,-74.6206769
"1,840",1,2,210 E 75th St #2G,40.7712196,-73.9585724
"1,899",1,2,259 W 121st St #2A,40.8074166,-73.9521051
"3,495",1,1,2 Gold St #3005,40.7073585,-74.006962
"2,250",1,1,246 W 132nd St #2,40.8139029,-73.9467379
"28,000",4,4,131 E 92nd St,40.7835876,-73.953019
"2,395",2,1,615 Fort Washington Ave #6H,40.8556937,-73.9370064
"3,149",2,1,361 E 10th St #43B,40.726643,-73.9788382
"3,500",1,1,104 Avenue B #2,42.5709639,-87.9339888
"7,200",2,2,200 E 61st St #26G,40.7625289,-73.9654889
"8,995",2,2,1 W End Ave #20J,40.7714442,-73.9894047
"3,995",1,1,62 Avenue B #6D,37.7687406,-122.1904563
"3,325",1,1,345 E 93rd St #16E,,
"3,000",1,1,108 W 74th St #3,40.7787659,-73.9783811
"3,495",2,1,324 W 47th St #4B,40.760767,-73.988912
"17,500",4,3,315 Cpw #4E,40.7887903,-73.9671931
"3,600",2,1,240 E 78th St #I,40.772916,-73.9566786
"5,500",5,2,E 102nd St and 1st Ave,40.7870698,-73.9419167
"2,246",1,1,54 W 106th St #1A,40.798581,-73.962053
"2,595",1,2,178 7th Ave #C1,40.7426728,-73.9970723
"3,800",2,1,308 W 18th St #1,40.7423354,-74.0014078
"3,500",2,2,280 Manhattan Ave #1B,40.8021019,-73.9586487
"4,446",1,1,10 Downing St #6D,40.7292829,-74.0027849
"2,200",1,1,247 Audubon Ave #47,40.8462346,-73.9338408
"4,500",1,1,401 E 80th St #6G,40.7731109,-73.9517237
"4,165",1,1,Financial District,40.7074909,-74.0112764
"2,500",1,1,179 Orchard St #5,40.7218935,-73.9885947
"2,354",1,3,212 W 91st St #402,40.7910936,-73.9737646
"3,729",1,3,101 W 15th St #111,40.7383013,-73.9966664
"4,400",1,1,130 Barrow St #318,40.732106,-74.009248
"3,250",1,1,675 W End Ave #3D,40.7931524,-73.9751079
"2,000",1,1,400 W 128th St #33A,40.8129056,-73.9521974
"5,400",3,1,62 Avenue B #5N,37.7687406,-122.1904563
"2,995",3,1,4640 Broadway #6,40.861572,-73.929812
"5,200",3,1,62 Avenue B #3H,37.7687406,-122.1904563
"2,350",1,1,453 W 48th St #A4,40.763437,-73.992115
"4,695",3,1,305 Riverside Dr #8C,,
"4,750",1,1,40 Central Park S #17F,35.434219,-97.4078234
"7,000",4,2,62 Avenue B #5C,37.7687406,-122.1904563
"7,950",3,2,147 W 22nd St #5S,40.7431741,-73.9949698
"2,500",1,3,141 Sullivan St #12,40.7268802,-74.0017703
"3,300",1,1,145 E 22nd St #5HH,40.7386335,-73.9842365
"1,875",1,3,42 W 88th St #1F,40.7871079,-73.9701239
"2,012",1,1,245 W 115th St #3,40.803623,-73.9550789
"1,895",2,1,242 Bradhurst Ave #62,40.8290568,-73.9386401
"3,600",2,1,3117 Broadway #52,40.8134083,-73.9604356
"5,000",1,1,211 E 53rd St #PHF,40.7575662,-73.9685467
"4,500",1,2,415 E 37th St #29G,40.7456286,-73.971305
"3,295",1,4,106 Central Park S #11EE,40.7656667,-73.9766622
"2,500",1,4,516 W 47th St #S2K,40.7629377,-73.9939189
"3,600",2,1,60 W 10th St #1D,38.0286738,-121.887162
"4,650",3,1,126 Rivington St #3A,40.71981,-73.9870101
